team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Algeria,Algeria,19,27.4,62.0,2,22,180,2.0,2,1,3,2,0,0,1,0,1.0,0.5,1.5,1.0,1.5,19,29.3,38.0,2,22,180,2.0,4,3,7,4,0,0,1,0,2.0,1.5,3.5,2.0,3.5,24,8,33.3,12.0,4.0,0.08,0.25,18,10,55.6,9.0,5.0,0.22,0.4,90,100,80,12,10,22,19,1.5,2,4,-2,-1.0,90,100,80,12,10,17,20,1.5,4,2,2,1.0,0,14,24,1,29,18,28,,,0,0,24,12,4,10,14,33,,,0,2,2,180,4,2.0,10,6,60.0,1,0,1,0,0.0,0,0,0,0,,2,2,180,2,1.0,8,6,75.0,1,0,1,1,50.0,0,0,0,0,
Argentina,Argentina,18,29.7,51.0,2,22,180,2.0,5,3,8,5,0,1,2,0,2.5,1.5,4.0,2.5,4.0,18,28.0,49.0,2,22,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,22,11,50.0,11.0,5.5,0.23,0.45,13,1,7.7,6.5,0.5,0.0,0.0,90,100,79,12,10,24,20,3.0,5,0,5,2.5,90,100,79,12,10,19,20,0.0,0,5,-5,-2.5,0,26,19,5,9,20,28,,,0,0,21,25,1,24,17,19,,,0,2,2,180,0,0.0,1,1,100.0,2,0,0,2,100.0,0,0,0,0,,2,2,180,5,2.5,10,5,50.0,0,0,2,0,0.0,1,0,0,1,
Australia,Australia,20,25.6,40.7,3,33,270,3.0,2,1,3,2,0,0,5,0,0.67,0.33,1.0,0.67,1.0,20,27.5,59.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.0,0.33,0.33,0.33,26,11,42.3,8.67,3.67,0.08,0.18,47,12,25.5,15.67,4.0,0.02,0.08,90,100,81,20,13,23,30,1.33,2,2,0,0.0,90,100,81,18,15,15,28,1.33,2,2,0,0.0,0,34,24,1,46,20,27,,,1,0,25,33,4,47,33,32,,,0,3,3,270,2,0.67,13,11,84.6,1,1,1,2,66.7,0,0,0,0,,3,3,270,2,0.67,11,9,81.8,1,1,1,2,66.7,0,0,0,0,
Austria,Austria,19,29.0,54.5,2,22,180,2.0,2,1,3,1,1,1,3,0,1.0,0.5,1.5,0.5,1.0,19,29.1,45.5,2,22,180,2.0,3,2,5,3,0,1,2,0,1.5,1.0,2.5,1.5,2.5,17,5,29.4,8.5,2.5,0.06,0.2,23,9,39.1,11.5,4.5,0.13,0.33,90,100,79,12,10,24,20,1.5,3,3,0,0.0,90,100,79,12,10,15,20,1.5,3,3,0,0.0,0,25,18,3,33,24,17,,,0,0,20,21,3,19,20,18,,,1,2,2,180,3,1.5,8,5,62.5,1,0,1,0,0.0,1,0,0,1,,2,2,180,3,1.5,5,2,40.0,1,0,1,1,50.0,1,1,0,0,0.0
Belgium,Belgium,19,29.8,59.7,3,33,270,3.0,5,3,8,5,0,0,3,1,1.67,1.0,2.67,1.67,2.67,19,30.0,40.3,3,33,270,3.0,2,1,3,2,0,0,5,0,0.67,0.33,1.0,0.67,1.0,73,20,27.4,24.33,6.67,0.07,0.25,27,8,29.6,9.0,2.67,0.07,0.25,90,100,80,17,15,21,25,1.67,6,2,4,1.33,90,100,80,18,15,22,30,0.67,2,6,-4,-1.33,0,29,33,4,64,23,26,,,0,0,34,25,6,38,31,33,,,1,3,3,270,2,0.67,8,6,75.0,1,2,0,1,33.3,0,0,0,0,,3,3,270,6,2.0,21,15,71.4,0,2,1,1,33.3,0,0,0,0,
Bosnia & Herz.,Bosnia and Herzegovina,22,26.9,44.0,3,33,270,3.0,4,3,7,4,0,0,6,1,1.33,1.0,2.33,1.33,2.33,22,29.7,56.0,3,33,270,3.0,6,4,10,5,1,1,4,0,2.0,1.33,3.33,1.67,3.0,27,11,40.7,9.0,3.67,0.15,0.36,35,14,40.0,11.67,4.67,0.14,0.36,90,100,80,17,15,21,29,1.33,5,6,-1,-0.33,90,100,80,18,15,20,27,1.33,6,5,1,0.33,0,47,31,2,44,26,25,,,0,0,31,45,7,63,12,34,,,1,3,3,270,6,2.0,12,6,50.0,1,1,1,0,0.0,1,1,0,0,0.0,3,3,270,5,1.67,12,7,58.3,1,1,1,0,0.0,0,0,0,0,
Brazil,Brazil,22,29.8,54.0,3,33,270,3.0,7,6,13,7,0,0,5,0,2.33,2.0,4.33,2.33,4.33,22,28.0,46.0,3,33,270,3.0,1,1,2,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67,41,19,46.3,13.67,6.33,0.17,0.37,35,11,31.4,11.67,3.67,0.03,0.09,90,100,79,18,15,25,27,2.33,7,1,6,2.0,90,100,79,18,15,19,30,0.33,1,7,-6,-2.0,0,40,37,9,37,28,29,,,0,0,38,39,5,49,15,35,,,0,3,3,270,1,0.33,11,10,90.9,2,1,0,2,66.7,0,0,0,0,,3,3,270,7,2.33,18,11,61.1,0,1,2,0,0.0,0,0,0,0,
Cabo Verde,Cape Verde,21,31.2,37.3,3,33,270,3.0,2,0,2,2,0,0,4,0,0.67,0.0,0.67,0.67,0.67,21,28.5,62.7,3,33,270,3.0,2,1,3,2,0,0,6,0,0.67,0.33,1.0,0.67,1.0,33,7,21.2,11.0,2.33,0.06,0.29,51,12,23.5,17.0,4.0,0.04,0.17,90,100,79,18,15,24,28,1.0,2,2,0,0.0,90,100,79,21,12,22,31,1.0,2,2,0,0.0,0,15,35,5,29,42,37,,,0,0,37,15,5,75,24,35,,,0,3,3,270,2,0.67,12,10,83.3,0,3,0,2,66.7,0,0,0,0,,3,3,270,2,0.67,7,5,71.4,0,3,0,2,66.7,0,0,0,0,
Canada,Canada,20,27.4,61.7,3,33,270,3.0,7,3,10,7,0,0,5,0,2.33,1.0,3.33,2.33,3.33,20,28.2,38.3,3,33,270,3.0,3,3,6,3,0,0,5,2,1.0,1.0,2.0,1.0,2.0,58,21,36.2,19.33,7.0,0.12,0.33,16,7,43.8,5.33,2.33,0.19,0.43,90,100,79,18,15,24,27,1.33,8,3,5,1.67,90,100,79,17,15,22,29,1.33,3,8,-5,-1.67,0,32,49,5,105,23,26,,,0,0,49,32,2,19,26,30,,,1,3,3,270,3,1.0,7,4,57.1,1,1,1,1,33.3,0,0,0,0,,3,3,270,8,2.67,19,11,57.9,1,1,1,0,0.0,0,0,0,0,
Colombia,Colombia,18,30.5,63.0,2,22,180,2.0,4,4,8,4,0,0,3,0,2.0,2.0,4.0,2.0,4.0,18,28.6,37.0,2,22,180,2.0,1,0,1,1,0,0,2,0,0.5,0.0,0.5,0.5,0.5,35,13,37.1,17.5,6.5,0.11,0.31,15,3,20.0,7.5,1.5,0.07,0.33,90,100,84,14,8,15,22,3.0,4,1,3,1.5,90,100,84,12,10,25,20,0.0,1,4,-3,-1.5,0,23,28,10,27,16,10,,,0,0,30,21,0,27,14,17,,,0,2,2,180,1,0.5,3,2,66.7,2,0,0,1,50.0,0,0,0,0,,2,2,180,4,2.0,13,9,69.2,0,0,2,0,0.0,0,0,0,0,
Congo DR,Congo DR,17,29.5,31.0,2,22,180,2.0,1,1,2,1,0,0,2,0,0.5,0.5,1.0,0.5,1.0,17,29.2,69.0,2,22,180,2.0,2,2,4,2,0,0,5,0,1.0,1.0,2.0,1.0,2.0,15,3,20.0,7.5,1.5,0.07,0.33,27,10,37.0,13.5,5.0,0.07,0.2,90,100,81,12,10,20,20,0.5,1,2,-1,-0.5,90,100,81,15,7,24,23,2.0,2,1,1,0.5,0,26,20,2,23,12,21,,,0,0,21,24,10,35,12,12,,,0,2,2,180,2,1.0,10,8,80.0,0,1,1,0,0.0,0,0,0,0,,2,2,180,1,0.5,3,2,66.7,1,1,0,1,50.0,0,0,0,0,
Croatia,Croatia,19,29.1,53.0,2,22,180,2.0,3,3,6,3,0,0,1,0,1.5,1.5,3.0,1.5,3.0,19,28.2,47.0,2,22,180,2.0,4,3,7,3,1,1,1,0,2.0,1.5,3.5,1.5,3.0,16,7,43.8,8.0,3.5,0.19,0.43,30,12,40.0,15.0,6.0,0.1,0.25,90,100,79,12,10,25,20,1.5,3,4,-1,-0.5,90,100,79,13,9,11,20,1.5,4,3,1,0.5,0,24,28,3,30,12,13,,,0,0,29,24,1,42,11,12,,,0,2,2,180,4,2.0,12,8,66.7,1,0,1,1,50.0,1,1,0,0,0.0,2,2,180,3,1.5,7,4,57.1,1,0,1,0,0.0,0,0,0,0,
Curaçao,Curaçao,22,29.3,32.3,3,33,270,3.0,1,0,1,1,0,0,7,0,0.33,0.0,0.33,0.33,0.33,22,27.1,67.7,3,33,270,3.0,9,8,17,8,1,1,2,0,3.0,2.67,5.67,2.67,5.33,29,7,24.1,9.67,2.33,0.03,0.14,60,30,50.0,20.0,10.0,0.13,0.27,90,100,84,20,13,15,32,0.33,1,9,-8,-2.67,90,100,84,19,14,21,31,2.33,9,1,8,2.67,0,32,31,5,23,39,26,,,0,0,31,30,2,60,29,34,,,0,3,3,270,9,3.0,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0,3,3,270,1,0.33,7,6,85.7,2,1,0,2,66.7,0,0,0,0,
Czechia,Czech Republic,21,28.2,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,21,27.6,57.3,3,33,270,3.0,6,5,11,5,1,1,4,0,2.0,1.67,3.67,1.67,3.33,34,8,23.5,11.33,2.67,0.06,0.25,43,15,34.9,14.33,5.0,0.12,0.33,90,100,80,20,14,22,29,0.33,2,6,-4,-1.33,90,100,80,20,13,20,30,2.33,6,2,4,1.33,0,37,31,5,57,19,19,,,0,0,32,35,5,42,27,23,,,0,3,3,270,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,3,3,270,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0,
Côte d'Ivoire,Côte d'Ivoire,22,25.8,50.7,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.0,2.33,1.33,2.33,22,28.3,49.3,3,33,270,3.0,2,2,4,2,0,0,3,0,0.67,0.67,1.33,0.67,1.33,31,9,29.0,10.33,3.0,0.13,0.44,39,10,25.6,13.0,3.33,0.05,0.2,90,100,81,18,15,20,30,2.0,4,2,2,0.67,90,100,81,19,14,22,31,1.0,2,4,-2,-0.67,0,23,29,2,32,36,30,,,0,0,29,21,2,50,35,43,,,0,3,3,270,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,,3,3,270,4,1.33,9,5,55.6,1,0,2,0,0.0,0,0,0,0,
Ecuador,Ecuador,19,27.3,55.3,3,33,270,3.0,2,2,4,2,0,0,5,0,0.67,0.67,1.33,0.67,1.33,19,28.3,44.7,3,33,270,3.0,2,2,4,2,0,0,9,0,0.67,0.67,1.33,0.67,1.33,46,19,41.3,15.33,6.33,0.04,0.11,36,10,27.8,12.0,3.33,0.06,0.2,90,100,82,20,13,21,32,1.33,2,2,0,0.0,90,100,82,18,15,21,28,1.33,2,2,0,0.0,0,35,28,1,58,32,41,,,0,0,30,34,2,24,23,29,,,0,3,3,270,2,0.67,10,8,80.0,1,1,1,1,33.3,0,0,0,0,,3,3,270,2,0.67,19,17,89.5,1,1,1,2,66.7,0,0,0,0,
Egypt,Egypt,20,29.6,54.3,3,33,270,3.0,5,5,10,5,0,0,6,0,1.67,1.67,3.33,1.67,3.33,20,30.1,45.7,3,33,270,3.0,2,1,3,2,0,1,8,0,0.67,0.33,1.0,0.67,1.0,48,13,27.1,16.0,4.33,0.1,0.38,39,12,30.8,13.0,4.0,0.05,0.17,90,100,79,18,16,23,27,1.67,5,3,2,0.67,90,100,79,20,13,19,31,0.67,3,5,-2,-0.67,0,34,42,1,50,26,40,,,1,0,45,33,6,41,23,32,,,0,3,3,270,3,1.0,11,8,72.7,1,2,0,0,0.0,1,0,1,0,100.0,3,3,270,5,1.67,13,8,61.5,0,2,1,0,0.0,0,0,0,0,
